Section,Sub Section,Index Name,Column Name,Currency,Unit,Source URL,Active,Discovered At,Review Status
,,SMM Foshan A00 Aluminum Ingot Premium SMM-AL-AL-006,SMM Foshan A00 Aluminum Ingot Premium SMM-AL-AL-006 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Foshan A00 Aluminum Ingot Premium,SMM Foshan A00 Aluminum Ingot Premium (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Guangyuan A00 Aluminum Ingot Premium SMM-AL-AL-020 USD/tonne +2.6 24/04/2026,SMM Guangyuan A00 Aluminum Ingot Premium SMM-AL-AL-020 USD/tonne +2.6 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Guangyuan A00 Aluminum Ingot Premium SMM-AL-AL-020,SMM Guangyuan A00 Aluminum Ingot Premium SMM-AL-AL-020 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Guangyuan A00 Aluminum Ingot Premium,SMM Guangyuan A00 Aluminum Ingot Premium (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Wuxi A00 Aluminum Ingot SMM-AL-AL-022 USD/tonne -4.68 24/04/2026,SMM Wuxi A00 Aluminum Ingot SMM-AL-AL-022 USD/tonne -4.68 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Wuxi A00 Aluminum Ingot SMM-AL-AL-022,SMM Wuxi A00 Aluminum Ingot SMM-AL-AL-022 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Wuxi A00 Aluminum Ingot,SMM Wuxi A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Hangzhou A00 Aluminum Ingot SMM-AL-AL-023 USD/tonne -4.69 24/04/2026,SMM Hangzhou A00 Aluminum Ingot SMM-AL-AL-023 USD/tonne -4.69 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Hangzhou A00 Aluminum Ingot SMM-AL-AL-023,SMM Hangzhou A00 Aluminum Ingot SMM-AL-AL-023 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Hangzhou A00 Aluminum Ingot,SMM Hangzhou A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Chongqing A00 Aluminum Ingot SMM-AL-AL-024 USD/tonne -5.98 24/04/2026,SMM Chongqing A00 Aluminum Ingot SMM-AL-AL-024 USD/tonne -5.98 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Chongqing A00 Aluminum Ingot SMM-AL-AL-024,SMM Chongqing A00 Aluminum Ingot SMM-AL-AL-024 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
